yrnum,date,dt,time,tz,location,st,deaths,intor,insvr,nrsvr,nowatch,watch,ef,h,m,o,p,v,unk,slat,slon,elat,elon
1,2017-01-21,"January 21, 2017",03:50:00,cst,FORREST,MS,4,4,0,0,0,WT0010,3,2,2,0,0,0,0,31.1855,-89.4799,31.4193,-89.0342
2,2017-01-22,"January 22, 2017",02:30:00,cst,BROOKS-COOK-BERRIEN,GA,11,11,0,0,0,WT0019,3,2,9,0,0,0,0,30.9998,-83.5841,31.1557,-83.2095
3,2017-01-22,"January 22, 2017",14:20:00,cst,DOUGHERTY,GA,5,5,0,0,0,WT0021,3,2,3,0,0,0,0,31.4373,-84.3447,31.9924,-83.3474
4,2017-02-07,"February 7, 2017",11:14:00,cst,ST. JAMES,LA,1,1,0,0,0,WT0026,1,0,0,1,0,0,0,30.1,-91.0,30.1,-90.9
5,2017-02-28,"February 28, 2017",16:50:00,cst,LA SALLE,IL,2,2,0,0,0,WT0042,3,0,0,2,0,0,0,41.3239,-88.9504,41.3597,-88.7352
6,2017-02-28,"February 28, 2017",20:00:00,cst,PERRY,MO,1,1,0,0,0,WT0041,4,0,0,0,0,1,0,37.7385,-89.9466,37.8222,-89.7124
7,2017-02-28,"February 28, 2017",22:00:00,cst,WHITE,IL,1,1,0,0,0,WT0046,3,1,0,0,0,0,0,38.137,-88.1148,38.1797,-87.9474
8,2017-04-02,"April 2, 2017",08:47:00,cst,ST. MARTIN,LA,2,0,0,0,2,NONE,1,0,2,0,0,0,0,30.2676,-91.8532,30.2756,-91.8436
9,2017-04-03,"April 3, 2017",13:23:00,cst,UNION,SC,1,1,0,0,0,WT0119,1,0,1,0,0,0,0,34.586,-81.602,34.586,-81.594
10,2017-04-29,"April 29, 2017",16:55:00,cst,VAN ZANDT,TX,2,2,0,0,0,WT0175,4,1,0,0,1,0,0,32.2572,-96.01799999999999,32.5528,-95.9306
11,2017-04-29,"April 29, 2017",17:20:00,cst,VAN ZANDT,TX,2,2,0,0,0,WT0175,3,0,0,0,0,2,0,32.3991,-95.8756,32.954,-95.6987
12,2017-04-30,"April 30, 2017",08:30:00,cst,HOLMES,MS,1,1,0,0,0,WT0181,2,0,1,0,0,0,0,32.8556,-90.0951,33.105,-89.8245
13,2017-05-16,"May 16, 2017",16:24:00,cst,BARRON,WI,1,1,0,0,0,WT0222,3,0,1,0,0,0,0,45.2529,-92.1619,45.3913,-90.4975
14,2017-05-16,"May 16, 2017",17:55:00,cst,BECKHAM,OK,1,1,0,0,0,WT0220,2,0,0,0,0,1,0,35.24,-99.55,35.41,-99.33
